,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_361,-0.158,0.342,18,40,0.45,0.656,-0.604,0.585,-0.726
Person_362,0.985,0.348,28,40,0.7,0.404,-1.323,0.349,-1.185
Person_363,1.483,0.376,32,40,0.8,0.89,-0.023,0.678,-0.229
Person_364,-2.217,0.513,4,40,0.1,1.5,0.839,2.256,1.442
Person_365,0.295,0.338,22,40,0.55,0.606,-0.737,0.509,-0.906
Person_366,2.636,0.597,38,40,0.95,0.705,-0.094,0.697,0.131
Person_367,-0.392,0.347,16,40,0.4,0.36,-1.497,0.361,-1.404
Person_368,-1.79,0.44,6,40,0.15,2.821,2.182,2.121,1.463
Person_369,1.104,0.353,29,40,0.725,0.357,-1.485,0.325,-1.199
Person_370,1.352,0.366,31,40,0.775,0.684,-0.483,0.643,-0.331
Person_371,0.295,0.338,22,40,0.55,0.567,-0.846,0.769,-0.27
Person_372,1.936,0.433,35,40,0.875,0.983,0.186,0.628,-0.171
Person_373,0.751,0.343,26,40,0.65,0.568,-0.82,0.69,-0.384
Person_374,1.352,0.366,31,40,0.775,0.799,-0.221,0.608,-0.397
Person_375,1.104,0.353,29,40,0.725,0.786,-0.266,0.712,-0.266
Person_376,2.351,0.518,37,40,0.925,0.36,-0.88,0.437,-0.307
Person_377,-0.893,0.366,12,40,0.3,0.527,-0.885,0.573,-0.698
Person_378,-2.884,0.677,2,40,0.05,0.979,0.268,0.483,-0.292
Person_379,3.015,0.73,39,40,0.975,0.438,-0.372,0.246,-0.292
Person_380,-0.763,0.36,13,40,0.325,0.715,-0.413,0.653,-0.52
Person_381,0.867,0.345,27,40,0.675,0.837,-0.158,0.878,-0.002
Person_382,1.936,0.433,35,40,0.875,0.147,-1.999,0.191,-1.096
Person_383,-2.884,0.677,2,40,0.05,0.519,-0.381,0.398,-0.437
Person_384,-2.217,0.513,4,40,0.1,0.289,-1.151,0.361,-0.825
Person_385,-2.503,0.576,3,40,0.075,1.635,0.936,0.788,0.032
Person_386,-1.307,0.389,9,40,0.225,0.845,-0.105,1.673,1.118
Person_387,0.636,0.341,25,40,0.625,1.244,0.61,1.166,0.465
Person_388,0.985,0.348,28,40,0.7,0.46,-1.135,0.436,-0.927
Person_389,0.636,0.341,25,40,0.625,0.54,-0.902,0.521,-0.81
Person_390,-1.79,0.44,6,40,0.15,0.591,-0.559,0.932,0.13
Person_391,-3.415,0.849,1,40,0.025,0.376,-0.525,0.205,-0.533
Person_392,-0.513,0.351,15,40,0.375,0.464,-1.117,0.427,-1.166
Person_393,-0.274,0.344,17,40,0.425,0.91,-0.009,0.804,-0.206
Person_394,0.751,0.343,26,40,0.65,0.784,-0.277,0.876,-0.017
Person_395,1.621,0.39,33,40,0.825,0.244,-1.771,0.319,-0.922
Person_396,0.521,0.339,24,40,0.6,0.459,-1.159,0.438,-1.074
Person_397,1.226,0.358,30,40,0.75,1.059,0.286,1.019,0.257
Person_398,0.521,0.339,24,40,0.6,1.002,0.176,0.971,0.139
Person_399,0.636,0.341,25,40,0.625,0.939,0.052,0.902,0.02
Person_400,-1.026,0.372,11,40,0.275,0.812,-0.185,1.283,0.64
Person_401,-0.044,0.34,19,40,0.475,0.912,-0.01,0.825,-0.163
Person_402,0.182,0.338,21,40,0.525,1.555,1.107,1.624,1.142
Person_403,0.985,0.348,28,40,0.7,0.769,-0.308,0.662,-0.393
Person_404,-0.392,0.347,16,40,0.4,1.399,0.859,1.211,0.545
Person_405,1.352,0.366,31,40,0.775,1.587,1.107,1.458,0.798
Person_406,0.07,0.339,20,40,0.5,1.025,0.218,0.893,-0.023
Person_407,-0.274,0.344,17,40,0.425,0.249,-1.997,0.284,-1.715
Person_408,1.352,0.366,31,40,0.775,1.264,0.632,1.274,0.59
Person_409,-2.884,0.677,2,40,0.05,2.074,1.235,2.305,1.284
Person_410,-1.307,0.389,9,40,0.225,0.6,-0.652,0.886,0.012
Person_411,-1.616,0.418,7,40,0.175,0.514,-0.803,0.713,-0.264
Person_412,-2.217,0.513,4,40,0.1,0.392,-0.861,0.873,0.097
Person_413,-1.616,0.418,7,40,0.175,0.681,-0.406,1.222,0.535
Person_414,0.751,0.343,26,40,0.65,0.353,-1.519,0.466,-0.929
Person_415,-0.763,0.36,13,40,0.325,0.58,-0.751,0.633,-0.567
Person_416,0.867,0.345,27,40,0.675,0.1,-2.91,0.128,-2.213
Person_417,1.621,0.39,33,40,0.825,0.638,-0.538,0.716,-0.129
Person_418,1.936,0.433,35,40,0.875,0.886,0.029,0.728,-0.028
Person_419,0.07,0.339,20,40,0.5,0.387,-1.439,0.522,-0.893
Person_420,1.771,0.408,34,40,0.85,0.404,-1.1,0.321,-0.833
Person_421,0.408,0.338,23,40,0.575,1.211,0.557,1.047,0.27
Person_422,-0.158,0.342,18,40,0.45,0.778,-0.303,0.662,-0.532
Person_423,-0.392,0.347,16,40,0.4,0.307,-1.712,0.404,-1.253
Person_424,-2.217,0.513,4,40,0.1,1.217,0.521,0.649,-0.242
Person_425,-1.307,0.389,9,40,0.225,0.602,-0.646,0.652,-0.443
Person_426,-0.513,0.351,15,40,0.375,1.316,0.723,1.015,0.211
Person_427,1.104,0.353,29,40,0.725,1.342,0.764,0.953,0.147
Person_428,2.351,0.518,37,40,0.925,0.865,0.069,2.257,1.225
Person_429,-1.79,0.44,6,40,0.15,0.722,-0.283,0.616,-0.415
Person_430,0.751,0.343,26,40,0.65,0.347,-1.545,0.425,-1.047
Person_431,-1.79,0.44,6,40,0.15,1.519,0.924,0.808,-0.066
Person_432,0.521,0.339,24,40,0.6,0.291,-1.793,0.28,-1.625
Person_433,0.182,0.338,21,40,0.525,0.275,-1.899,0.344,-1.454
Person_434,-2.217,0.513,4,40,0.1,0.26,-1.245,0.305,-0.971
Person_435,1.352,0.366,31,40,0.775,0.902,-0.009,0.667,-0.286
Person_436,-0.893,0.366,12,40,0.3,0.226,-1.984,0.312,-1.498
Person_437,-0.513,0.351,15,40,0.375,0.909,-0.004,0.854,-0.098
Person_438,-1.616,0.418,7,40,0.175,0.542,-0.73,0.805,-0.097
Person_439,-0.636,0.355,14,40,0.35,1.611,1.152,2.602,2.216
Person_440,0.751,0.343,26,40,0.65,1.391,0.845,1.103,0.366
Person_441,-0.158,0.342,18,40,0.45,0.481,-1.106,0.476,-1.033
Person_442,0.295,0.338,22,40,0.55,1.394,0.859,1.248,0.6
Person_443,0.182,0.338,21,40,0.525,0.656,-0.606,0.608,-0.653
Person_444,1.771,0.408,34,40,0.85,0.642,-0.484,0.674,-0.152
Person_445,-0.893,0.366,12,40,0.3,0.756,-0.312,0.698,-0.403
Person_446,-1.986,0.47,5,40,0.125,0.478,-0.749,0.858,0.042
Person_447,1.621,0.39,33,40,0.825,1.421,0.841,1.71,1.002
Person_448,-0.158,0.342,18,40,0.45,0.434,-1.261,0.388,-1.317
Person_449,2.125,0.467,36,40,0.9,0.178,-1.664,0.275,-0.738
Person_450,0.867,0.345,27,40,0.675,1.107,0.373,2.135,1.607
Person_451,-0.274,0.344,17,40,0.425,0.49,-1.066,0.507,-0.939
Person_452,0.751,0.343,26,40,0.65,1.139,0.43,1.078,0.327
Person_453,3.157,,40,40,1.0,,,,
Person_454,3.015,0.73,39,40,0.975,0.438,-0.372,0.246,-0.292
Person_455,-0.158,0.342,18,40,0.45,1.232,0.594,1.24,0.592
Person_456,0.07,0.339,20,40,0.5,0.526,-0.975,0.457,-1.083
Person_457,1.936,0.433,35,40,0.875,0.356,-1.151,1.344,0.645
Person_458,-0.513,0.351,15,40,0.375,0.121,-2.717,0.172,-2.242
Person_459,0.521,0.339,24,40,0.6,0.859,-0.117,0.817,-0.152
Person_460,0.07,0.339,20,40,0.5,0.209,-2.24,0.293,-1.67
Person_461,0.182,0.338,21,40,0.525,0.637,-0.657,0.576,-0.736
Person_462,-0.636,0.355,14,40,0.35,0.464,-1.1,0.496,-0.943
Person_463,-1.79,0.44,6,40,0.15,1.348,0.709,1.197,0.499
Person_464,-3.415,0.849,1,40,0.025,0.452,-0.384,0.237,-0.465
Person_465,-1.79,0.44,6,40,0.15,0.33,-1.266,0.318,-1.142
Person_466,-0.274,0.344,17,40,0.425,1.345,0.779,1.785,1.359
Person_467,-0.513,0.351,15,40,0.375,1.917,1.561,1.72,1.265
Person_468,2.636,0.597,38,40,0.95,1.132,0.434,0.638,0.067
Person_469,1.352,0.366,31,40,0.775,0.754,-0.321,0.969,0.196
Person_470,-1.456,0.402,8,40,0.2,0.778,-0.228,0.695,-0.327
Person_471,0.636,0.341,25,40,0.625,0.824,-0.19,0.818,-0.14
Person_472,-0.763,0.36,13,40,0.325,0.375,-1.381,0.401,-1.214
Person_473,-0.392,0.347,16,40,0.4,0.497,-1.031,0.497,-0.964
Person_474,0.408,0.338,23,40,0.575,0.754,-0.356,0.644,-0.543
Person_475,1.104,0.353,29,40,0.725,0.812,-0.207,0.626,-0.437
Person_476,-0.392,0.347,16,40,0.4,1.012,0.196,1.165,0.469
Person_477,1.771,0.408,34,40,0.85,0.645,-0.477,0.45,-0.543
Person_478,-1.456,0.402,8,40,0.2,0.265,-1.678,0.287,-1.396
Person_479,-0.044,0.34,19,40,0.475,0.244,-2.053,0.295,-1.669
Person_480,3.157,,40,40,1.0,,,,
Person_481,0.182,0.338,21,40,0.525,1.855,1.523,1.443,0.895
Person_482,2.125,0.467,36,40,0.9,1.017,0.256,0.733,0.028
Person_483,0.182,0.338,21,40,0.525,0.832,-0.184,0.706,-0.418
Person_484,0.636,0.341,25,40,0.625,0.648,-0.606,0.624,-0.555
Person_485,0.182,0.338,21,40,0.525,0.378,-1.471,0.335,-1.49
Person_486,-0.392,0.347,16,40,0.4,0.622,-0.675,0.584,-0.721
Person_487,-1.026,0.372,11,40,0.275,0.834,-0.14,0.696,-0.39
Person_488,0.295,0.338,22,40,0.55,0.281,-1.861,0.337,-1.463
Person_489,-1.456,0.402,8,40,0.2,0.951,0.104,0.791,-0.143
Person_490,1.483,0.376,32,40,0.8,0.183,-2.161,0.22,-1.318
Person_491,1.936,0.433,35,40,0.875,0.512,-0.722,0.424,-0.517
Person_492,0.408,0.338,23,40,0.575,1.208,0.551,1.06,0.292
Person_493,-0.044,0.34,19,40,0.475,1.229,0.591,1.617,1.142
Person_494,0.751,0.343,26,40,0.65,0.414,-1.297,0.398,-1.128
Person_495,-0.274,0.344,17,40,0.425,0.672,-0.556,0.673,-0.504
Person_496,1.771,0.408,34,40,0.85,0.68,-0.4,0.467,-0.51
Person_497,-3.667,,0,40,0.0,,,,
Person_498,-0.158,0.342,18,40,0.45,0.975,0.119,1.52,1.01
Person_499,-2.503,0.576,3,40,0.075,0.982,0.243,1.343,0.645
Person_500,-2.217,0.513,4,40,0.1,0.86,0.042,0.548,-0.423
Person_501,2.125,0.467,36,40,0.9,1.323,0.654,2.314,1.312
Person_502,1.771,0.408,34,40,0.85,0.22,-1.774,0.251,-1.024
Person_503,-0.893,0.366,12,40,0.3,0.305,-1.632,0.412,-1.152
Person_504,-1.986,0.47,5,40,0.125,0.676,-0.322,0.524,-0.545
Person_505,-3.667,,0,40,0.0,,,,
Person_506,-1.026,0.372,11,40,0.275,0.412,-1.222,0.435,-1.05
Person_507,3.157,,40,40,1.0,,,,
Person_508,0.867,0.345,27,40,0.675,0.758,-0.334,0.834,-0.082
Person_509,-1.164,0.38,10,40,0.25,1.09,0.343,1.286,0.639
Person_510,0.985,0.348,28,40,0.7,0.431,-1.231,0.374,-1.107
Person_511,-1.986,0.47,5,40,0.125,0.418,-0.903,0.424,-0.769
Person_512,0.07,0.339,20,40,0.5,0.81,-0.234,0.707,-0.419
Person_513,-0.158,0.342,18,40,0.45,0.788,-0.281,0.792,-0.235
Person_514,0.636,0.341,25,40,0.625,0.589,-0.765,0.6,-0.613
Person_515,0.751,0.343,26,40,0.65,1.204,0.543,1.034,0.255
Person_516,0.867,0.345,27,40,0.675,0.417,-1.281,0.512,-0.771
Person_517,1.483,0.376,32,40,0.8,1.436,0.88,0.851,0.044
Person_518,-1.164,0.38,10,40,0.25,1.06,0.291,1.101,0.362
Person_519,0.985,0.348,28,40,0.7,0.93,0.036,0.748,-0.222
Person_520,2.636,0.597,38,40,0.95,1.058,0.354,0.574,-0.006
Person_521,-1.616,0.418,7,40,0.175,1.957,1.461,1.543,0.926
Person_522,-0.513,0.351,15,40,0.375,0.364,-1.461,0.407,-1.233
Person_523,1.771,0.408,34,40,0.85,0.488,-0.86,0.375,-0.704
Person_524,-0.274,0.344,17,40,0.425,0.49,-1.066,0.507,-0.939
Person_525,3.015,0.73,39,40,0.975,0.306,-0.625,0.184,-0.413
Person_526,-0.636,0.355,14,40,0.35,0.948,0.077,0.863,-0.075
Person_527,2.351,0.518,37,40,0.925,0.732,-0.133,0.413,-0.346
Person_528,-0.044,0.34,19,40,0.475,1.257,0.638,1.15,0.445
Person_529,0.182,0.338,21,40,0.525,0.808,-0.237,0.797,-0.215
Person_530,1.483,0.376,32,40,0.8,0.717,-0.387,0.704,-0.185
Person_531,-0.763,0.36,13,40,0.325,0.183,-2.24,0.264,-1.726
Person_532,-1.026,0.372,11,40,0.275,0.25,-1.849,0.354,-1.31
Person_533,-0.274,0.344,17,40,0.425,1.656,1.242,1.705,1.257
Person_534,0.867,0.345,27,40,0.675,0.123,-2.717,0.353,-1.226
Person_535,-1.616,0.418,7,40,0.175,0.469,-0.923,0.675,-0.336
Person_536,0.751,0.343,26,40,0.65,0.293,-1.767,0.312,-1.416
Person_537,-0.893,0.366,12,40,0.3,0.857,-0.097,0.785,-0.217
Person_538,1.226,0.358,30,40,0.75,0.486,-1.033,0.366,-1.014
Person_539,-3.415,0.849,1,40,0.025,0.376,-0.525,0.205,-0.533
Person_540,-1.616,0.418,7,40,0.175,1.631,1.09,1.426,0.791
Person_541,-1.79,0.44,6,40,0.15,0.575,-0.596,0.402,-0.904
Person_542,-0.893,0.366,12,40,0.3,0.499,-0.966,0.561,-0.729
Person_543,0.636,0.341,25,40,0.625,0.586,-0.773,0.651,-0.493
Person_544,-0.044,0.34,19,40,0.475,0.45,-1.216,0.609,-0.663
Person_545,-0.044,0.34,19,40,0.475,0.343,-1.61,0.325,-1.548
Person_546,-0.274,0.344,17,40,0.425,0.78,-0.294,0.668,-0.516
Person_547,0.636,0.341,25,40,0.625,2.138,1.842,2.045,1.581
Person_548,-1.986,0.47,5,40,0.125,0.554,-0.575,0.388,-0.86
Person_549,1.104,0.353,29,40,0.725,1.137,0.425,1.115,0.388
Person_550,0.867,0.345,27,40,0.675,0.782,-0.279,0.758,-0.224
Person_551,0.408,0.338,23,40,0.575,0.635,-0.651,0.602,-0.645
Person_552,1.352,0.366,31,40,0.775,0.696,-0.455,0.565,-0.482
Person_553,0.751,0.343,26,40,0.65,0.852,-0.128,0.767,-0.226
Person_554,1.771,0.408,34,40,0.85,1.764,1.239,1.011,0.295
Person_555,0.295,0.338,22,40,0.55,1.256,0.635,1.833,1.397
Person_556,-0.392,0.347,16,40,0.4,0.634,-0.644,0.568,-0.763
Person_557,-0.636,0.355,14,40,0.35,0.508,-0.968,0.563,-0.758
Person_558,-1.616,0.418,7,40,0.175,0.413,-1.087,0.7,-0.288
Person_559,-1.307,0.389,9,40,0.225,0.244,-1.822,0.526,-0.736
Person_560,-1.307,0.389,9,40,0.225,1.067,0.304,0.862,-0.03
Person_561,-0.513,0.351,15,40,0.375,0.531,-0.915,0.581,-0.721
Person_562,0.636,0.341,25,40,0.625,0.78,-0.288,1.257,0.602
Person_563,0.07,0.339,20,40,0.5,1.349,0.791,1.193,0.516
Person_564,-0.893,0.366,12,40,0.3,0.368,-1.389,0.453,-1.028
Person_565,1.352,0.366,31,40,0.775,1.006,0.19,1.166,0.459
Person_566,1.621,0.39,33,40,0.825,0.803,-0.178,2.058,1.288
Person_567,-0.636,0.355,14,40,0.35,0.374,-1.405,0.463,-1.041
Person_568,-1.456,0.402,8,40,0.2,0.352,-1.344,0.35,-1.182
Person_569,0.636,0.341,25,40,0.625,0.308,-1.71,0.397,-1.169
Person_570,0.295,0.338,22,40,0.55,1.521,1.054,1.383,0.804
Person_571,-1.986,0.47,5,40,0.125,0.83,-0.045,0.968,0.201
Person_572,0.07,0.339,20,40,0.5,0.722,-0.442,0.642,-0.575
Person_573,0.521,0.339,24,40,0.6,1.149,0.447,0.976,0.148
Person_574,-0.893,0.366,12,40,0.3,0.908,0.005,0.881,-0.026
Person_575,0.408,0.338,23,40,0.575,0.591,-0.772,0.57,-0.726
Person_576,-2.217,0.513,4,40,0.1,0.24,-1.315,0.245,-1.151
Person_577,1.771,0.408,34,40,0.85,1.097,0.357,0.817,0.053
Person_578,1.771,0.408,34,40,0.85,0.782,-0.191,0.525,-0.4
Person_579,-0.513,0.351,15,40,0.375,0.535,-0.902,0.517,-0.897
Person_580,0.867,0.345,27,40,0.675,0.986,0.147,0.771,-0.199
Person_581,-3.667,,0,40,0.0,,,,
Person_582,-1.307,0.389,9,40,0.225,1.355,0.757,1.435,0.829
Person_583,-0.763,0.36,13,40,0.325,0.812,-0.196,0.731,-0.342
Person_584,-1.79,0.44,6,40,0.15,1.766,1.207,2.124,1.467
Person_585,0.867,0.345,27,40,0.675,0.681,-0.518,0.806,-0.133
Person_586,2.125,0.467,36,40,0.9,0.715,-0.227,0.47,-0.351
Person_587,-2.217,0.513,4,40,0.1,0.361,-0.943,0.41,-0.707
Person_588,-1.456,0.402,8,40,0.2,1.717,1.223,1.646,1.064
Person_589,0.867,0.345,27,40,0.675,0.69,-0.497,0.661,-0.424
Person_590,2.351,0.518,37,40,0.925,0.841,0.034,1.015,0.375
Person_591,-1.79,0.44,6,40,0.15,0.643,-0.445,0.867,0.03
Person_592,-0.274,0.344,17,40,0.425,2.56,2.324,2.38,2.034
Person_593,2.351,0.518,37,40,0.925,0.36,-0.88,0.437,-0.307
Person_594,-2.884,0.677,2,40,0.05,0.594,-0.254,0.418,-0.401
Person_595,-2.503,0.576,3,40,0.075,0.458,-0.597,0.323,-0.776
Person_596,-0.636,0.355,14,40,0.35,0.918,0.018,1.09,0.343
Person_597,-0.636,0.355,14,40,0.35,0.339,-1.536,0.348,-1.418
Person_598,1.483,0.376,32,40,0.8,0.183,-2.161,0.22,-1.318
Person_599,0.636,0.341,25,40,0.625,0.595,-0.748,0.598,-0.617
Person_600,-2.884,0.677,2,40,0.05,0.594,-0.254,0.418,-0.401
Person_601,0.521,0.339,24,40,0.6,2.012,1.7,1.825,1.358
Person_602,-0.763,0.36,13,40,0.325,0.464,-1.085,0.498,-0.919
Person_603,1.621,0.39,33,40,0.825,0.185,-2.061,0.196,-1.309
Person_604,-0.392,0.347,16,40,0.4,0.346,-1.554,0.38,-1.335
Person_605,-0.513,0.351,15,40,0.375,0.882,-0.059,0.771,-0.271
Person_606,0.521,0.339,24,40,0.6,1.789,1.418,1.742,1.259
Person_607,1.483,0.376,32,40,0.8,1.104,0.367,0.764,-0.088
Person_608,0.521,0.339,24,40,0.6,0.585,-0.782,0.598,-0.637
Person_609,-2.503,0.576,3,40,0.075,0.641,-0.253,0.541,-0.338
Person_610,0.751,0.343,26,40,0.65,0.311,-1.688,0.326,-1.366
Person_611,-1.026,0.372,11,40,0.275,0.591,-0.702,0.569,-0.687
Person_612,0.295,0.338,22,40,0.55,0.463,-1.166,0.525,-0.863
Person_613,-1.79,0.44,6,40,0.15,0.427,-0.97,0.639,-0.369
Person_614,0.867,0.345,27,40,0.675,0.187,-2.29,0.228,-1.693
Person_615,-0.763,0.36,13,40,0.325,0.65,-0.569,0.908,0.019
Person_616,-1.986,0.47,5,40,0.125,1.439,0.8,1.376,0.704
Person_617,1.104,0.353,29,40,0.725,0.623,-0.659,0.511,-0.692
Person_618,0.636,0.341,25,40,0.625,1.023,0.218,1.514,0.958
Person_619,-1.456,0.402,8,40,0.2,0.352,-1.344,0.35,-1.182
Person_620,1.936,0.433,35,40,0.875,0.199,-1.733,0.204,-1.054
Person_621,-0.513,0.351,15,40,0.375,0.803,-0.229,0.947,0.084
Person_622,-0.636,0.355,14,40,0.35,1.186,0.507,1.756,1.301
Person_623,0.408,0.338,23,40,0.575,1.568,1.118,1.278,0.642
Person_624,-0.893,0.366,12,40,0.3,1.409,0.851,1.244,0.587
Person_625,0.636,0.341,25,40,0.625,1.658,1.236,1.291,0.651
Person_626,-0.392,0.347,16,40,0.4,1.192,0.522,1.544,1.039
Person_627,-0.636,0.355,14,40,0.35,0.365,-1.438,0.418,-1.18
Person_628,1.936,0.433,35,40,0.875,0.851,-0.032,0.718,-0.042
Person_629,-1.164,0.38,10,40,0.25,0.868,-0.066,1.613,1.067
Person_630,-2.503,0.576,3,40,0.075,0.745,-0.086,0.628,-0.197
Person_631,2.351,0.518,37,40,0.925,1.378,0.697,0.686,0.035
Person_632,2.636,0.597,38,40,0.95,0.214,-1.108,0.166,-0.695
Person_633,-0.636,0.355,14,40,0.35,1.324,0.731,1.09,0.342
Person_634,-1.986,0.47,5,40,0.125,1.036,0.277,2.966,2.027
Person_635,0.295,0.338,22,40,0.55,0.998,0.165,0.887,-0.028
Person_636,-0.044,0.34,19,40,0.475,0.463,-1.173,0.435,-1.16
Person_637,0.182,0.338,21,40,0.525,0.587,-0.795,0.7,-0.432
Person_638,-2.217,0.513,4,40,0.1,0.361,-0.943,0.41,-0.707
Person_639,1.352,0.366,31,40,0.775,2.214,1.87,1.367,0.697
Person_640,0.521,0.339,24,40,0.6,0.186,-2.328,0.25,-1.756
Person_641,-2.217,0.513,4,40,0.1,0.386,-0.875,0.328,-0.908
Person_642,0.985,0.348,28,40,0.7,0.51,-0.979,0.46,-0.863
Person_643,3.015,0.73,39,40,0.975,0.306,-0.625,0.184,-0.413
Person_644,0.521,0.339,24,40,0.6,0.665,-0.569,0.627,-0.567
Person_645,-0.158,0.342,18,40,0.45,0.505,-1.031,0.403,-1.267
Person_646,0.295,0.338,22,40,0.55,2.017,1.722,1.67,1.195
Person_647,1.226,0.358,30,40,0.75,0.217,-2.083,0.242,-1.415
Person_648,-2.503,0.576,3,40,0.075,0.172,-1.405,0.218,-1.064
Person_649,0.636,0.341,25,40,0.625,1.157,0.46,0.986,0.171
Person_650,-0.158,0.342,18,40,0.45,0.858,-0.125,0.862,-0.088
Person_651,1.936,0.433,35,40,0.875,0.199,-1.733,0.204,-1.054
Person_652,-0.044,0.34,19,40,0.475,0.824,-0.202,1.033,0.241
Person_653,2.636,0.597,38,40,0.95,0.512,-0.406,0.528,-0.061
Person_654,-1.026,0.372,11,40,0.275,0.832,-0.145,0.805,-0.163
Person_655,0.751,0.343,26,40,0.65,0.984,0.142,0.923,0.066
Person_656,-0.044,0.34,19,40,0.475,1.244,0.616,1.652,1.189
Person_657,-1.164,0.38,10,40,0.25,0.414,-1.199,0.499,-0.84
Person_658,0.07,0.339,20,40,0.5,0.93,0.028,0.899,-0.011
Person_659,1.352,0.366,31,40,0.775,0.696,-0.455,0.515,-0.586
Person_660,-0.274,0.344,17,40,0.425,0.512,-0.998,0.526,-0.884
Person_661,-2.503,0.576,3,40,0.075,0.172,-1.405,0.218,-1.064
Person_662,-0.274,0.344,17,40,0.425,1.071,0.306,0.929,0.047
Person_663,-1.79,0.44,6,40,0.15,0.402,-1.042,0.355,-1.032
Person_664,-0.636,0.355,14,40,0.35,0.874,-0.072,0.804,-0.194
Person_665,0.07,0.339,20,40,0.5,0.622,-0.7,0.642,-0.575
Person_666,-2.884,0.677,2,40,0.05,0.639,-0.183,0.691,0.0
Person_667,-2.884,0.677,2,40,0.05,0.686,-0.113,0.611,-0.104
Person_668,0.985,0.348,28,40,0.7,1.314,0.721,2.37,1.784
Person_669,-0.636,0.355,14,40,0.35,0.465,-1.097,0.472,-1.012
Person_670,-2.503,0.576,3,40,0.075,1.471,0.783,1.599,0.871
Person_671,1.226,0.358,30,40,0.75,0.677,-0.513,1.004,0.236
Person_672,0.182,0.338,21,40,0.525,0.599,-0.76,0.574,-0.741
Person_673,-0.392,0.347,16,40,0.4,0.627,-0.663,0.608,-0.66
Person_674,-1.616,0.418,7,40,0.175,0.469,-0.923,0.675,-0.336
Person_675,0.867,0.345,27,40,0.675,0.537,-0.904,0.54,-0.7
Person_676,0.521,0.339,24,40,0.6,0.354,-1.531,0.347,-1.374
Person_677,3.157,,40,40,1.0,,,,
Person_678,0.182,0.338,21,40,0.525,0.613,-0.722,0.794,-0.223
Person_679,0.867,0.345,27,40,0.675,1.033,0.237,0.959,0.137
Person_680,-1.026,0.372,11,40,0.275,0.563,-0.774,0.605,-0.598
Person_681,1.352,0.366,31,40,0.775,2.523,2.193,3.083,2.138
Person_682,0.751,0.343,26,40,0.65,0.317,-1.662,0.437,-1.012
Person_683,1.621,0.39,33,40,0.825,1.013,0.213,0.919,0.162
Person_684,-0.513,0.351,15,40,0.375,0.595,-0.735,0.5,-0.946
Person_685,-0.513,0.351,15,40,0.375,2.935,2.646,2.899,2.511
Person_686,-0.513,0.351,15,40,0.375,0.945,0.067,0.84,-0.126
Person_687,0.867,0.345,27,40,0.675,0.591,-0.751,0.614,-0.528
Person_688,2.351,0.518,37,40,0.925,0.812,-0.008,0.901,0.267
Person_689,-0.274,0.344,17,40,0.425,0.721,-0.433,0.71,-0.415
Person_690,-0.513,0.351,15,40,0.375,0.633,-0.635,0.602,-0.666
Person_691,0.182,0.338,21,40,0.525,0.348,-1.585,0.338,-1.479
Person_692,-1.164,0.38,10,40,0.25,0.529,-0.855,0.7,-0.364
Person_693,1.352,0.366,31,40,0.775,1.147,0.44,1.045,0.301
Person_694,-2.884,0.677,2,40,0.05,0.138,-1.361,0.145,-1.054
Person_695,-0.392,0.347,16,40,0.4,0.931,0.036,1.039,0.252
Person_696,-0.513,0.351,15,40,0.375,1.004,0.183,0.819,-0.169
Person_697,-2.884,0.677,2,40,0.05,0.757,-0.011,2.24,1.247
Person_698,-1.307,0.389,9,40,0.225,1.331,0.722,2.002,1.475
Person_699,-1.456,0.402,8,40,0.2,0.635,-0.541,0.475,-0.825
Person_700,0.408,0.338,23,40,0.575,1.669,1.261,1.567,1.051
Person_701,1.104,0.353,29,40,0.725,1.233,0.587,0.96,0.158
Person_702,-0.893,0.366,12,40,0.3,1.069,0.305,0.944,0.09
Person_703,-1.79,0.44,6,40,0.15,1.374,0.743,0.842,-0.01
Person_704,0.295,0.338,22,40,0.55,1.116,0.389,1.493,0.96
Person_705,0.867,0.345,27,40,0.675,0.309,-1.691,0.269,-1.522
Person_706,-1.616,0.418,7,40,0.175,0.626,-0.528,0.723,-0.244
Person_707,-1.026,0.372,11,40,0.275,0.415,-1.214,0.485,-0.907
Person_708,1.104,0.353,29,40,0.725,0.535,-0.899,0.436,-0.878
Person_709,-0.763,0.36,13,40,0.325,0.195,-2.173,0.266,-1.718
Person_710,1.621,0.39,33,40,0.825,0.605,-0.618,0.445,-0.623
Person_711,-0.392,0.347,16,40,0.4,0.508,-0.997,0.821,-0.168
Person_712,2.125,0.467,36,40,0.9,1.305,0.633,1.777,0.972
Person_713,-1.307,0.389,9,40,0.225,0.578,-0.706,0.893,0.024
Person_714,-0.158,0.342,18,40,0.45,1.106,0.37,0.838,-0.135
Person_715,-0.392,0.347,16,40,0.4,0.55,-0.872,0.658,-0.536
Person_716,-2.217,0.513,4,40,0.1,0.86,0.042,0.548,-0.423
Person_717,-2.217,0.513,4,40,0.1,0.469,-0.675,0.99,0.252
Person_718,0.985,0.348,28,40,0.7,0.302,-1.715,0.57,-0.593
Person_719,-0.763,0.36,13,40,0.325,0.384,-1.348,0.42,-1.153
Person_720,-1.79,0.44,6,40,0.15,0.247,-1.571,0.262,-1.328
Person_721,0.295,0.338,22,40,0.55,0.498,-1.052,0.458,-1.057
Person_722,1.621,0.39,33,40,0.825,0.96,0.12,1.6,0.903
