,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Rater_2,Person_197,4,4,4,4,2,5,5,4,3,5,4,5
Rater_2,Person_198,4,2,3,3,5,3,4,4,5,5,4,4
Rater_2,Person_199,1,1,1,1,0,3,3,1,1,0,1,1
Rater_2,Person_200,5,5,5,5,5,4,5,5,5,5,5,5
Rater_3,Person_1,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_2,0,0,0,0,2,1,0,4,1,2,0,5
Rater_3,Person_3,1,3,5,1,1,2,5,2,1,5,3,2
Rater_3,Person_4,2,2,1,0,2,2,5,1,1,1,0,1
Rater_3,Person_5,3,1,1,0,2,1,3,3,2,4,2,5
Rater_3,Person_6,5,5,5,5,5,5,5,5,5,5,5,5
Rater_3,Person_7,0,0,0,1,0,0,1,0,1,1,0,0
Rater_3,Person_8,4,2,1,4,2,3,2,5,1,1,3,5
Rater_3,Person_9,0,0,0,0,0,0,0,1,0,0,0,1
Rater_3,Person_10,0,1,3,3,0,0,1,5,1,0,2,2
Rater_3,Person_11,0,1,0,1,0,0,1,2,1,0,0,0
Rater_3,Person_12,3,3,2,5,2,3,4,5,2,5,2,5
Rater_3,Person_13,0,0,0,0,0,0,1,1,0,0,0,1
Rater_3,Person_14,1,1,3,4,1,3,2,1,1,4,1,4
Rater_3,Person_15,0,0,0,0,0,0,1,0,0,1,0,1
Rater_3,Person_16,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_17,0,1,2,1,1,0,4,5,0,3,1,1
Rater_3,Person_18,5,5,5,5,5,5,5,5,4,5,4,4
Rater_3,Person_19,3,1,1,2,1,2,1,5,2,3,1,4
Rater_3,Person_20,0,0,1,0,0,0,0,1,0,0,0,0
Rater_3,Person_21,1,0,1,0,1,3,4,1,0,0,0,1
Rater_3,Person_22,2,1,1,4,2,3,4,4,1,5,3,0
Rater_3,Person_23,4,5,5,2,3,2,2,4,2,4,4,4
Rater_3,Person_24,0,0,1,0,0,0,0,1,0,0,0,0
Rater_3,Person_25,3,0,3,2,0,3,4,2,1,4,2,5
Rater_3,Person_26,1,0,1,0,1,2,2,4,1,3,1,3
Rater_3,Person_27,1,0,1,0,1,1,2,3,1,1,0,2
Rater_3,Person_28,0,0,0,0,1,2,1,1,0,1,1,3
Rater_3,Person_29,0,1,0,1,0,0,0,1,0,1,2,1
Rater_3,Person_30,0,0,0,0,0,1,0,0,0,1,0,0
Rater_3,Person_31,3,4,3,3,4,1,5,5,3,4,4,5
Rater_3,Person_32,2,0,1,1,2,1,4,2,0,1,0,1
Rater_3,Person_33,1,0,0,1,0,0,2,0,0,0,0,1
Rater_3,Person_34,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_35,0,0,1,0,0,0,1,0,0,1,0,0
Rater_3,Person_36,0,1,1,1,0,0,1,0,1,0,2,0
Rater_3,Person_37,0,0,0,0,1,1,1,1,0,0,0,0
Rater_3,Person_38,0,0,0,0,1,0,1,0,0,0,0,1
Rater_3,Person_39,1,4,1,3,2,4,3,5,0,5,2,3
Rater_3,Person_40,1,1,0,1,1,1,2,2,0,1,1,0
Rater_3,Person_41,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_42,0,0,0,0,0,0,1,0,0,0,0,1
Rater_3,Person_43,2,0,1,1,0,0,0,2,0,1,1,2
Rater_3,Person_44,2,2,3,1,3,5,5,5,2,1,2,5
Rater_3,Person_45,0,0,0,0,1,0,0,0,0,0,0,0
Rater_3,Person_46,5,5,5,5,3,5,4,4,5,5,5,5
Rater_3,Person_47,0,0,0,1,0,1,0,0,0,0,0,0
Rater_3,Person_48,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_49,0,2,2,1,2,2,4,5,1,4,2,1
Rater_3,Person_50,5,5,4,3,4,3,4,5,3,3,1,4
Rater_3,Person_51,1,1,1,0,0,0,1,1,0,1,0,1
Rater_3,Person_52,4,2,4,0,2,0,1,3,0,1,4,1
Rater_3,Person_53,1,0,0,1,0,0,1,1,0,1,0,0
Rater_3,Person_54,1,0,0,0,0,1,1,3,1,0,0,4
Rater_3,Person_55,5,5,4,5,3,5,5,5,1,4,4,4
Rater_3,Person_56,4,2,2,1,2,1,3,3,0,5,1,5
Rater_3,Person_57,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_58,5,5,5,5,4,5,5,5,5,5,4,5
Rater_3,Person_59,0,0,0,0,0,0,0,1,0,1,0,0
Rater_3,Person_60,3,3,2,0,2,2,4,5,1,1,1,5
Rater_3,Person_61,1,0,1,3,1,2,2,4,0,3,1,4
Rater_3,Person_62,0,0,0,0,2,2,1,4,0,0,0,0
Rater_3,Person_63,1,1,1,0,1,2,1,1,0,2,1,4
Rater_3,Person_64,0,0,1,0,1,4,2,3,0,1,2,1
Rater_3,Person_65,2,1,1,3,2,2,5,4,2,5,4,3
Rater_3,Person_66,0,0,0,0,0,1,0,0,0,0,0,0
Rater_3,Person_67,0,0,0,0,1,0,0,1,0,1,0,0
Rater_3,Person_68,2,1,1,1,0,1,1,4,3,2,3,1
Rater_3,Person_69,5,4,5,2,3,5,5,5,4,4,5,4
Rater_3,Person_70,0,1,0,0,0,0,1,1,0,2,1,1
Rater_3,Person_71,5,5,4,3,5,5,5,5,5,4,2,5
Rater_3,Person_72,0,0,0,0,1,1,1,3,0,0,1,4
Rater_3,Person_73,5,1,4,5,5,5,4,5,2,5,5,5
Rater_3,Person_74,4,0,4,3,1,4,3,4,1,3,2,4
Rater_3,Person_75,0,0,2,0,3,0,5,3,2,0,0,1
Rater_3,Person_76,5,4,5,4,0,4,2,5,4,5,2,4
Rater_3,Person_77,0,0,1,0,0,1,1,0,0,0,0,0
Rater_3,Person_78,3,1,0,0,0,2,1,2,1,2,1,1
Rater_3,Person_79,0,0,0,0,0,0,1,0,0,0,0,0
Rater_3,Person_80,0,0,1,0,0,0,0,0,0,1,0,0
Rater_3,Person_81,1,4,5,1,4,4,5,3,0,3,1,3
Rater_3,Person_82,1,1,0,0,3,1,1,1,1,0,0,1
Rater_3,Person_83,2,4,3,3,3,4,5,2,3,4,2,4
Rater_3,Person_84,1,2,1,1,2,0,0,2,0,0,2,2
Rater_3,Person_85,0,0,0,0,0,0,1,2,0,0,0,1
Rater_3,Person_86,5,5,4,5,5,5,5,5,5,5,5,5
Rater_3,Person_87,5,5,4,3,5,3,5,5,1,5,4,4
Rater_3,Person_88,1,1,1,0,1,0,2,2,0,3,1,0
Rater_3,Person_89,2,1,1,2,1,2,1,0,2,1,0,0
Rater_3,Person_90,5,3,5,5,4,3,5,5,4,5,4,3
Rater_3,Person_91,0,1,2,0,0,1,1,1,1,1,1,1
Rater_3,Person_92,5,4,3,5,4,4,4,5,3,5,4,4
Rater_3,Person_93,3,3,5,3,1,3,4,3,2,2,1,4
Rater_3,Person_94,0,0,0,0,0,0,0,0,0,0,0,1
Rater_3,Person_95,3,2,2,1,3,5,3,5,1,4,1,3
Rater_3,Person_96,2,4,5,2,3,3,5,4,3,5,4,5
Rater_3,Person_97,1,0,2,4,0,4,4,4,3,2,0,2
Rater_3,Person_98,3,3,4,0,1,5,4,5,2,1,2,5
Rater_3,Person_99,4,3,5,5,4,2,4,5,2,5,2,4
Rater_3,Person_100,0,0,0,1,1,1,0,1,1,1,0,0
Rater_3,Person_101,5,4,3,5,5,4,5,4,4,5,5,5
Rater_3,Person_102,2,1,1,1,1,0,1,3,1,1,1,1
Rater_3,Person_103,2,3,3,3,0,1,2,2,2,4,5,1
Rater_3,Person_104,1,0,0,0,0,0,1,0,0,1,0,0
Rater_3,Person_105,2,1,2,3,0,4,5,5,2,3,2,5
Rater_3,Person_106,5,1,4,1,5,2,4,4,2,2,1,5
Rater_3,Person_107,1,0,0,0,0,1,1,0,0,1,0,0
Rater_3,Person_108,3,1,2,0,2,2,4,5,1,3,4,1
Rater_3,Person_109,1,1,4,1,1,2,4,4,1,1,1,3
Rater_3,Person_110,3,4,4,2,3,5,3,5,3,5,3,2
Rater_3,Person_111,4,4,1,1,1,0,2,2,1,3,2,3
Rater_3,Person_112,0,0,0,2,2,1,0,1,0,1,0,0
Rater_3,Person_113,0,2,0,1,1,2,2,1,1,0,0,2
Rater_3,Person_114,0,0,0,0,0,1,0,0,0,0,0,0
Rater_3,Person_115,0,0,1,1,1,1,2,2,0,0,0,2
Rater_3,Person_116,0,1,1,0,1,0,1,1,2,0,0,0
Rater_3,Person_117,1,3,4,3,3,1,5,3,1,4,2,4
Rater_3,Person_118,4,4,3,1,5,3,5,5,1,5,4,5
Rater_3,Person_119,2,1,3,3,2,1,4,5,0,4,1,1
Rater_3,Person_120,0,0,0,1,0,0,0,0,0,0,0,1
Rater_3,Person_121,0,1,0,1,0,2,4,3,1,2,2,5
Rater_3,Person_122,0,0,0,0,0,1,1,0,0,0,0,0
Rater_3,Person_123,0,1,2,3,2,0,2,3,1,1,4,4
Rater_3,Person_124,1,0,1,3,0,5,2,1,0,3,0,2
Rater_3,Person_125,0,0,0,0,0,1,1,0,0,0,0,0
Rater_3,Person_126,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_127,0,2,0,4,0,5,4,4,2,1,1,1
Rater_3,Person_128,5,5,5,5,5,5,4,5,4,4,5,5
Rater_3,Person_129,1,0,0,0,0,2,0,2,0,1,0,1
Rater_3,Person_130,2,0,2,1,1,2,2,2,0,3,0,2
Rater_3,Person_131,1,0,0,0,0,0,0,1,0,0,0,1
Rater_3,Person_132,1,0,1,0,1,0,1,2,0,0,1,0
Rater_3,Person_133,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_134,0,0,0,1,0,3,2,3,0,0,0,2
Rater_3,Person_135,0,3,1,0,1,1,0,4,1,2,1,2
Rater_3,Person_136,0,1,1,1,2,1,2,1,0,0,0,0
Rater_3,Person_137,1,2,4,2,3,1,0,3,1,0,0,1
Rater_3,Person_138,0,1,1,0,1,1,2,1,0,0,0,0
Rater_3,Person_139,5,5,0,5,5,4,4,4,5,5,0,5
Rater_3,Person_140,1,2,1,0,1,1,1,2,1,0,1,0
Rater_3,Person_141,1,0,1,0,0,2,1,2,0,0,2,2
Rater_3,Person_142,4,5,2,3,2,5,3,5,1,4,5,5
Rater_3,Person_143,1,2,0,0,2,0,1,2,2,1,0,1
Rater_3,Person_144,1,3,2,1,0,2,3,2,0,1,0,1
Rater_3,Person_145,0,0,1,0,0,0,0,1,0,0,0,0
Rater_3,Person_146,1,0,0,3,0,0,1,1,0,0,0,3
Rater_3,Person_147,4,5,5,5,5,5,4,4,2,5,5,5
Rater_3,Person_148,4,2,0,3,1,0,3,2,1,2,1,1
Rater_3,Person_149,2,2,1,4,5,4,5,3,1,4,4,4
Rater_3,Person_150,1,0,0,2,4,0,4,3,1,1,0,5
Rater_3,Person_151,4,4,5,4,4,5,5,5,3,5,4,5
Rater_3,Person_152,0,0,0,1,1,1,1,0,2,0,0,1
Rater_3,Person_153,1,0,0,0,0,0,1,1,0,1,0,1
Rater_3,Person_154,4,3,3,1,0,1,5,1,0,3,0,5
Rater_3,Person_155,1,2,5,0,1,3,3,4,2,2,2,5
Rater_3,Person_156,1,0,1,0,0,4,2,3,1,2,2,2
Rater_3,Person_157,5,0,2,1,1,1,3,1,1,1,1,0
Rater_3,Person_158,0,0,0,1,0,0,2,1,0,1,0,0
Rater_3,Person_159,4,4,3,1,4,4,4,4,0,1,4,5
Rater_3,Person_160,1,1,1,0,0,0,1,1,0,0,0,0
Rater_3,Person_161,1,1,1,2,1,1,3,2,1,1,3,4
Rater_3,Person_162,0,1,0,0,0,1,3,1,1,1,1,0
Rater_3,Person_163,5,4,5,5,5,5,5,5,4,5,4,5
Rater_3,Person_164,1,0,2,1,1,0,1,0,0,1,0,1
Rater_3,Person_165,0,1,0,0,2,1,1,3,0,1,0,3
Rater_3,Person_166,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_167,0,0,0,0,0,0,0,0,1,0,0,0
Rater_3,Person_168,1,0,1,1,0,3,0,3,0,2,0,1
Rater_3,Person_169,0,1,1,1,1,1,0,0,0,0,0,0
Rater_3,Person_170,1,4,0,1,0,1,2,3,0,2,0,0
Rater_3,Person_171,0,0,0,0,0,0,1,1,0,1,0,1
Rater_3,Person_172,0,0,0,0,0,1,1,1,1,2,1,2
Rater_3,Person_173,1,0,1,2,1,3,1,3,1,1,1,1
Rater_3,Person_174,5,3,4,2,5,5,3,5,3,5,4,5
Rater_3,Person_175,0,0,0,0,0,0,2,0,0,1,1,1
Rater_3,Person_176,0,0,1,0,0,0,0,0,1,0,0,0
Rater_3,Person_177,1,0,0,0,0,0,0,1,0,1,0,0
Rater_3,Person_178,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_179,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_180,2,3,2,3,4,1,4,4,3,5,2,3
Rater_3,Person_181,5,5,5,5,2,5,5,5,5,5,3,5
Rater_3,Person_182,0,0,0,0,0,1,2,1,0,1,1,1
Rater_3,Person_183,1,0,1,2,1,1,1,2,0,2,1,0
Rater_3,Person_184,0,0,0,0,0,1,0,1,0,2,0,1
Rater_3,Person_185,5,1,5,2,5,3,3,5,1,3,2,3
Rater_3,Person_186,1,1,0,0,1,1,1,2,0,1,0,2
Rater_3,Person_187,1,1,0,0,0,0,0,2,0,2,0,3
Rater_3,Person_188,0,0,0,1,0,1,0,1,0,1,0,1
Rater_3,Person_189,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_190,4,4,0,1,5,0,4,4,1,2,0,4
Rater_3,Person_191,0,0,0,0,0,0,0,1,0,1,0,0
Rater_3,Person_192,5,5,5,5,5,5,5,5,4,3,4,5
Rater_3,Person_193,3,3,3,4,4,3,4,5,4,4,3,3
Rater_3,Person_194,1,1,1,2,3,0,0,1,1,1,1,2
Rater_3,Person_195,0,0,0,0,0,0,0,0,0,0,0,0
Rater_3,Person_196,0,1,0,0,0,2,0,4,1,0,1,2
Rater_3,Person_197,5,5,3,2,2,4,4,4,2,2,0,5
Rater_3,Person_198,1,2,1,0,1,1,5,2,1,2,0,0
Rater_3,Person_199,0,1,0,1,0,1,1,1,0,1,0,0
Rater_3,Person_200,5,5,5,4,5,5,4,4,4,5,4,5
Rater_4,Person_1,1,0,0,0,0,1,2,1,0,2,1,1
Rater_4,Person_2,3,2,2,1,1,3,4,4,0,3,3,4
Rater_4,Person_3,4,4,2,4,5,4,3,5,4,4,3,4
Rater_4,Person_4,2,4,1,2,1,2,3,5,1,1,1,3
Rater_4,Person_5,4,5,4,5,3,5,5,5,3,4,4,5
Rater_4,Person_6,5,5,5,5,5,4,5,5,5,5,5,5
Rater_4,Person_7,0,0,1,1,2,0,2,2,0,1,0,0
Rater_4,Person_8,4,3,4,2,2,5,5,4,4,4,4,3
Rater_4,Person_9,1,0,1,1,1,1,1,1,1,1,0,1
Rater_4,Person_10,2,1,3,3,4,4,4,4,1,3,4,4
Rater_4,Person_11,2,1,1,2,1,1,2,3,1,2,0,2
Rater_4,Person_12,5,4,4,5,5,5,5,5,4,5,4,5
Rater_4,Person_13,1,1,0,1,0,2,2,2,1,1,1,1
Rater_4,Person_14,4,2,3,3,5,3,4,4,1,5,1,4
Rater_4,Person_15,1,2,1,0,1,1,2,2,1,1,0,3
Rater_4,Person_16,0,0,1,0,0,0,1,1,1,1,0,1
Rater_4,Person_17,4,5,3,5,4,1,5,4,4,2,4,4
Rater_4,Person_18,5,3,4,5,4,4,5,4,3,5,5,4
Rater_4,Person_19,5,2,1,4,5,3,4,4,4,3,3,3
Rater_4,Person_20,2,0,0,1,1,2,3,1,1,2,0,1
Rater_4,Person_21,4,2,1,3,1,3,4,4,1,4,2,4
Rater_4,Person_22,4,3,2,3,2,2,4,4,3,5,3,5
Rater_4,Person_23,5,5,3,5,5,5,4,5,4,5,1,5
Rater_4,Person_24,1,1,1,1,1,1,1,1,0,1,1,2
Rater_4,Person_25,5,3,4,4,2,5,5,5,3,5,4,4
Rater_4,Person_26,2,4,1,4,4,4,3,4,3,4,2,4
Rater_4,Person_27,2,2,4,2,2,1,1,5,1,1,2,3
Rater_4,Person_28,3,1,1,2,4,3,4,1,1,4,3,4
Rater_4,Person_29,1,1,2,1,3,1,4,2,2,0,1,2
Rater_4,Person_30,3,1,2,0,2,1,3,4,2,3,0,2
Rater_4,Person_31,5,4,5,5,5,3,5,5,4,5,4,5
Rater_4,Person_32,2,1,3,1,1,4,3,4,3,3,4,1
Rater_4,Person_33,2,1,1,1,1,2,1,3,1,1,1,1
Rater_4,Person_34,0,0,1,0,0,0,2,1,0,0,0,1
Rater_4,Person_35,1,1,1,1,1,2,1,3,2,1,1,2
Rater_4,Person_36,1,1,1,1,1,1,3,3,1,4,1,1
Rater_4,Person_37,1,0,1,1,0,1,1,2,1,1,2,1
Rater_4,Person_38,1,1,0,0,1,0,0,0,1,3,1,1
Rater_4,Person_39,4,3,3,3,3,4,5,4,4,5,1,3
Rater_4,Person_40,1,1,2,1,1,1,4,2,1,3,1,3
Rater_4,Person_41,0,1,1,1,0,1,2,2,1,1,1,1
Rater_4,Person_42,1,1,1,1,0,1,2,3,1,1,2,1
Rater_4,Person_43,3,3,1,1,1,1,3,5,1,1,1,4
Rater_4,Person_44,4,2,2,4,4,4,4,5,4,5,3,4
Rater_4,Person_45,1,1,3,1,0,1,2,1,0,1,1,1
Rater_4,Person_46,5,5,3,5,4,4,4,5,4,4,4,5
Rater_4,Person_47,2,1,0,4,3,2,3,4,1,1,1,2
Rater_4,Person_48,1,0,1,0,0,2,0,2,1,0,0,1
Rater_4,Person_49,5,1,4,3,4,4,4,4,4,4,4,3
Rater_4,Person_50,5,3,5,4,5,4,5,5,4,4,5,5
Rater_4,Person_51,1,2,2,2,1,1,5,1,1,4,1,4
Rater_4,Person_52,2,5,4,4,3,4,3,4,3,5,1,3
Rater_4,Person_53,1,0,4,1,2,1,3,3,2,1,0,3
Rater_4,Person_54,2,1,1,1,1,3,4,3,1,2,4,4
Rater_4,Person_55,5,5,4,5,5,5,5,5,5,4,4,5
Rater_4,Person_56,4,5,4,4,3,4,3,5,1,3,4,5
Rater_4,Person_57,1,1,2,0,1,1,1,0,1,2,1,1
Rater_4,Person_58,5,5,5,5,4,4,5,5,3,5,5,5
Rater_4,Person_59,1,1,0,0,1,1,1,3,1,1,1,2
Rater_4,Person_60,3,3,4,5,4,4,5,4,2,4,4,3
Rater_4,Person_61,4,3,4,4,4,5,4,4,1,4,3,4
Rater_4,Person_62,1,2,2,4,2,1,4,3,2,2,2,3
Rater_4,Person_63,3,1,4,4,3,3,5,4,2,4,2,3
Rater_4,Person_64,1,1,2,2,3,1,4,4,3,1,1,4
Rater_4,Person_65,3,5,5,3,3,5,5,5,3,4,5,5
Rater_4,Person_66,1,1,1,1,3,1,0,3,1,2,1,2
Rater_4,Person_67,1,1,1,2,2,1,3,2,0,0,0,1
Rater_4,Person_68,4,3,2,2,4,3,2,5,4,4,4,4
Rater_4,Person_69,5,5,5,4,5,5,5,5,4,5,5,5
Rater_4,Person_70,4,2,2,1,2,2,4,4,1,4,2,3
Rater_4,Person_71,5,5,4,5,3,5,5,5,4,5,5,5
Rater_4,Person_72,1,1,1,1,2,1,4,4,2,3,1,3
Rater_4,Person_73,5,5,4,5,4,4,5,5,4,4,5,5
Rater_4,Person_74,5,5,3,5,4,5,4,3,3,4,4,5
Rater_4,Person_75,3,1,3,4,4,4,5,4,4,4,4,4
Rater_4,Person_76,5,4,4,4,5,3,5,5,4,5,1,5
Rater_4,Person_77,1,3,1,2,1,2,4,3,1,3,1,2
Rater_4,Person_78,2,2,1,4,1,2,2,3,3,4,3,4
Rater_4,Person_79,2,1,1,0,1,1,2,1,1,1,1,3
Rater_4,Person_80,1,1,1,0,1,1,1,1,1,1,0,1
Rater_4,Person_81,4,4,4,4,4,2,5,5,3,4,3,5
Rater_4,Person_82,2,3,4,1,1,4,4,3,0,5,1,4
Rater_4,Person_83,5,5,4,4,5,3,5,5,2,4,5,5
Rater_4,Person_84,4,2,1,2,1,1,3,4,4,3,1,4
Rater_4,Person_85,3,1,1,2,1,2,1,3,2,1,0,1
Rater_4,Person_86,5,5,4,5,5,5,5,5,5,5,5,5
Rater_4,Person_87,4,5,5,5,4,4,5,5,3,5,4,4
Rater_4,Person_88,5,3,1,2,1,4,2,3,3,1,3,4
Rater_4,Person_89,1,1,2,1,2,2,1,4,1,3,1,3
Rater_4,Person_90,5,4,4,5,4,5,5,5,5,5,1,5
Rater_4,Person_91,1,2,1,2,2,3,3,1,2,1,3,1
Rater_4,Person_92,5,5,4,4,5,5,5,5,5,5,4,5
Rater_4,Person_93,4,3,4,4,4,3,4,5,4,5,4,4
Rater_4,Person_94,1,1,0,0,1,1,1,3,0,1,1,2
Rater_4,Person_95,3,3,1,4,3,5,4,3,2,4,3,4
Rater_4,Person_96,4,5,4,4,5,4,4,5,2,5,4,5
Rater_4,Person_97,4,2,1,3,4,3,4,3,3,4,4,5
Rater_4,Person_98,4,3,4,5,2,4,3,5,2,4,4,5
Rater_4,Person_99,5,4,4,4,4,5,5,5,4,4,5,5
Rater_4,Person_100,1,2,2,1,2,1,4,1,2,3,1,2
Rater_4,Person_101,5,5,5,5,5,5,5,5,4,5,4,5
Rater_4,Person_102,3,3,2,4,3,3,2,4,2,4,0,5
Rater_4,Person_103,4,4,1,2,5,4,4,4,4,5,2,3
Rater_4,Person_104,0,0,1,1,0,1,0,0,0,2,1,1
Rater_4,Person_105,4,5,4,5,5,4,4,5,3,4,4,5
Rater_4,Person_106,5,5,1,1,5,4,3,5,4,5,5,4
Rater_4,Person_107,2,0,1,1,0,1,0,2,1,4,2,2
Rater_4,Person_108,4,5,5,4,2,4,5,5,2,5,2,4
Rater_4,Person_109,4,3,4,2,2,5,4,5,1,2,3,5
Rater_4,Person_110,5,3,4,4,3,3,5,4,4,4,5,5
Rater_4,Person_111,4,3,4,4,5,5,5,5,3,4,4,4
Rater_4,Person_112,1,3,1,2,1,2,2,2,2,2,3,2
Rater_4,Person_113,1,1,4,4,2,2,4,5,1,4,1,4
Rater_4,Person_114,0,1,1,1,1,1,0,0,1,0,1,2
Rater_4,Person_115,1,2,3,3,2,1,5,4,1,3,4,4
Rater_4,Person_116,2,3,1,1,2,2,1,4,0,3,1,2
Rater_4,Person_117,5,4,4,5,3,2,5,5,4,4,4,5
Rater_4,Person_118,4,5,4,4,3,5,4,5,5,5,3,5
Rater_4,Person_119,5,4,3,4,4,4,5,4,2,3,4,4
Rater_4,Person_120,1,1,0,0,1,1,1,2,1,1,0,1
Rater_4,Person_121,3,2,3,3,1,3,5,4,2,4,2,3
Rater_4,Person_122,1,1,1,1,1,1,1,1,1,1,0,4
Rater_4,Person_123,2,2,3,5,2,4,4,2,3,5,5,5
Rater_4,Person_124,4,1,3,2,3,5,2,4,3,1,3,4
Rater_4,Person_125,2,1,2,0,2,0,2,1,0,1,2,2
Rater_4,Person_126,1,0,2,1,1,2,0,1,1,2,0,1
Rater_4,Person_127,5,5,4,4,4,5,5,5,5,5,3,5
Rater_4,Person_128,4,5,4,5,5,5,5,5,4,5,5,5
Rater_4,Person_129,3,1,1,1,1,0,5,2,1,1,2,3
Rater_4,Person_130,3,3,5,3,4,2,5,2,4,3,3,4
Rater_4,Person_131,1,1,1,1,2,2,3,4,1,2,0,1
Rater_4,Person_132,2,1,2,2,1,4,1,4,1,4,3,4
Rater_4,Person_133,1,0,0,1,0,0,1,1,0,1,0,1
Rater_4,Person_134,4,1,3,2,1,2,4,3,2,2,4,5
Rater_4,Person_135,1,4,2,2,1,1,5,5,3,2,3,4
Rater_4,Person_136,1,1,1,3,3,2,0,5,1,1,3,3
Rater_4,Person_137,3,3,2,3,3,1,4,3,3,4,2,3
Rater_4,Person_138,2,1,2,1,1,1,5,2,2,2,1,2
Rater_4,Person_139,3,4,5,3,3,4,5,4,2,4,4,5
Rater_4,Person_140,4,3,1,1,3,3,1,3,1,4,2,4
Rater_4,Person_141,3,3,4,2,3,3,1,4,3,3,1,4
Rater_4,Person_142,4,4,3,4,3,5,5,4,5,3,4,5
Rater_4,Person_143,1,2,1,3,1,4,4,4,3,4,3,3
Rater_4,Person_144,5,3,3,4,1,3,3,5,5,2,3,5
Rater_4,Person_145,1,1,1,0,0,1,1,1,1,0,0,0
Rater_4,Person_146,2,2,3,1,0,1,2,2,1,2,1,2
Rater_4,Person_147,5,5,5,5,5,4,5,5,5,5,5,4
Rater_4,Person_148,3,2,2,2,1,1,5,5,2,5,1,3
Rater_4,Person_149,4,3,4,3,1,4,5,5,5,4,4,4
Rater_4,Person_150,2,4,2,3,3,2,3,4,1,3,3,2
Rater_4,Person_151,4,5,5,5,5,5,4,5,5,5,5,5
Rater_4,Person_152,2,1,1,2,1,2,2,3,0,1,2,2
Rater_4,Person_153,1,1,1,1,0,2,2,3,2,1,0,2
Rater_4,Person_154,3,1,3,4,3,2,3,4,2,4,2,4
Rater_4,Person_155,4,4,1,3,4,3,4,5,3,5,4,4
Rater_4,Person_156,2,4,1,4,4,5,4,4,2,3,1,4
Rater_4,Person_157,4,1,4,4,1,1,4,5,3,2,2,3
Rater_4,Person_158,2,1,3,1,0,2,1,4,1,2,2,4
Rater_4,Person_159,5,5,5,4,3,3,5,5,3,5,3,4
Rater_4,Person_160,4,1,3,2,2,2,2,4,2,4,2,5
Rater_4,Person_161,5,4,2,3,4,5,4,5,5,4,2,4
Rater_4,Person_162,1,1,1,2,1,2,3,4,0,2,2,4
Rater_4,Person_163,5,5,4,5,5,5,5,5,5,5,3,5
Rater_4,Person_164,0,0,2,2,1,1,4,3,1,2,2,2
Rater_4,Person_165,2,4,3,1,1,4,3,5,2,3,3,3
Rater_4,Person_166,1,1,1,2,1,1,3,1,1,3,1,2
Rater_4,Person_167,2,1,1,1,1,1,2,3,1,1,1,2
Rater_4,Person_168,1,1,3,4,3,3,4,5,1,3,2,3
Rater_4,Person_169,1,1,1,1,1,2,2,3,1,3,0,3
Rater_4,Person_170,2,2,1,3,4,3,4,3,2,3,2,3
Rater_4,Person_171,1,0,2,0,1,2,2,3,1,2,1,1
Rater_4,Person_172,4,4,3,4,1,4,2,4,3,4,2,4
Rater_4,Person_173,4,1,3,2,1,3,3,4,1,3,2,5
Rater_4,Person_174,5,5,5,4,4,4,4,5,4,5,4,4
Rater_4,Person_175,1,1,2,0,2,1,1,1,1,2,1,1
Rater_4,Person_176,1,0,1,2,1,1,0,4,1,1,0,2
Rater_4,Person_177,1,1,3,0,2,1,1,2,2,1,1,2
Rater_4,Person_178,1,1,0,0,1,0,0,2,0,0,0,1
Rater_4,Person_179,1,0,1,1,1,1,0,2,0,1,0,1
Rater_4,Person_180,4,4,2,4,2,4,4,4,1,4,2,4
Rater_4,Person_181,5,5,5,5,3,5,5,5,5,5,5,5
Rater_4,Person_182,2,2,2,3,1,1,3,4,1,2,2,3
Rater_4,Person_183,5,1,2,2,3,4,3,5,2,3,1,3
Rater_4,Person_184,2,1,1,1,1,2,3,2,2,2,2,2
Rater_4,Person_185,3,3,4,5,2,4,4,4,4,5,3,5
Rater_4,Person_186,1,2,0,2,2,3,5,4,1,2,1,3
Rater_4,Person_187,3,2,1,1,1,2,4,4,1,1,1,4
Rater_4,Person_188,3,1,1,1,4,1,3,5,2,3,4,3
Rater_4,Person_189,0,1,1,1,0,1,1,2,1,1,0,1
Rater_4,Person_190,3,4,4,4,3,3,5,5,3,5,4,4
Rater_4,Person_191,1,1,0,1,0,1,3,2,0,0,1,2
Rater_4,Person_192,5,4,5,5,5,4,5,5,5,5,5,5
Rater_4,Person_193,4,3,3,4,4,4,5,5,5,5,5,5
Rater_4,Person_194,4,4,3,2,5,4,5,5,2,3,2,3
