,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Person_479,3,3,4,3,4,4,4,4,4,3,4,4
Person_480,2,1,2,2,2,2,3,2,2,3,3,1
Person_481,1,2,2,2,2,2,3,4,2,3,3,1
Person_482,3,3,4,2,3,3,4,3,3,4,4,2
Person_483,3,2,4,3,3,3,4,3,3,4,3,3
Person_484,2,4,4,3,3,3,4,4,3,4,4,3
Person_485,1,1,3,1,1,2,2,2,2,2,2,1
Person_486,3,4,4,4,4,4,4,5,4,5,4,4
Person_487,4,3,4,2,3,3,4,4,3,4,3,4
Person_488,1,2,2,1,3,1,3,1,2,2,1,0
Person_489,2,1,3,2,2,2,2,4,3,2,3,2
Person_490,2,3,4,3,3,3,4,4,3,4,3,2
Person_491,1,1,1,1,1,2,1,2,1,3,2,1
Person_492,2,2,3,2,2,3,4,4,3,3,2,2
Person_493,1,2,3,2,2,2,3,3,3,3,3,2
Person_494,2,2,3,1,3,3,3,3,4,4,2,3
Person_495,2,2,3,1,2,2,3,2,2,2,1,3
Person_496,1,1,2,2,3,1,2,3,2,3,3,2
Person_497,2,3,4,2,3,2,3,4,3,4,2,3
Person_498,1,3,2,3,3,3,3,3,3,3,3,2
Person_499,2,2,4,2,2,3,4,3,1,4,1,3
Person_500,2,3,2,3,3,3,3,3,1,3,3,2
