,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_329,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_330,-1.775,0.459,0.477,9,38,0.237,1.084,0.331,1.032,0.229
Person_331,5.442,,,38,38,1.0,,,,
Person_332,3.115,0.633,0.521,33,38,0.868,0.678,-0.444,0.733,-0.088
Person_333,2.391,0.567,0.455,31,38,0.816,0.644,-0.598,0.558,-0.655
Person_334,1.55,0.496,0.516,28,38,0.737,1.082,0.325,1.05,0.264
Person_335,-0.608,0.391,0.19,16,38,0.421,0.236,-2.729,0.228,-2.717
Person_336,-3.64,0.713,0.694,3,38,0.079,0.948,0.126,0.948,0.277
Person_337,-1.576,0.44,0.528,10,38,0.263,1.438,0.993,1.435,0.981
Person_338,1.094,0.463,0.41,26,38,0.684,0.785,-0.33,0.686,-0.606
Person_339,0.506,0.427,0.377,23,38,0.605,0.782,-0.348,0.785,-0.356
Person_340,-1.576,0.44,0.45,10,38,0.263,1.047,0.254,1.464,1.03
Person_341,2.733,0.598,0.645,32,38,0.842,1.163,0.463,1.632,0.993
Person_342,1.094,0.463,0.432,26,38,0.684,0.871,-0.124,1.031,0.221
Person_343,-0.311,0.394,0.415,18,38,0.474,1.114,0.402,1.149,0.477
Person_344,-1.993,0.481,0.506,8,38,0.211,1.108,0.376,1.001,0.177
Person_345,2.391,0.567,0.695,31,38,0.816,1.502,1.0,1.527,0.943
Person_346,-0.46,0.392,0.216,17,38,0.447,0.303,-2.279,0.268,-2.441
Person_347,-2.51,0.542,0.554,6,38,0.158,1.046,0.262,0.992,0.198
Person_348,0.887,0.449,0.158,25,38,0.658,0.124,-3.009,0.166,-2.769
Person_349,-1.775,0.459,0.328,9,38,0.237,0.513,-1.096,0.486,-1.137
Person_350,0.692,0.438,0.351,24,38,0.632,0.642,-0.714,0.625,-0.792
Person_351,0.692,0.438,0.356,24,38,0.632,0.662,-0.657,0.797,-0.321
Person_352,-1.222,0.413,0.422,12,38,0.316,1.043,0.241,1.142,0.46
Person_353,3.115,0.633,0.49,33,38,0.868,0.601,-0.627,0.638,-0.237
Person_354,-1.993,0.481,0.436,8,38,0.211,0.823,-0.218,0.807,-0.215
Person_355,2.733,0.598,0.302,32,38,0.842,0.255,-1.799,0.333,-1.081
Person_356,0.329,0.418,0.275,22,38,0.579,0.433,-1.431,0.505,-1.201
Person_357,0.692,0.438,0.288,24,38,0.632,0.433,-1.388,0.487,-1.237
Person_358,1.805,0.516,0.647,29,38,0.763,1.57,1.156,1.28,0.673
Person_359,-2.824,0.584,0.462,5,38,0.132,0.626,-0.598,0.597,-0.434
Person_360,1.314,0.478,0.529,27,38,0.711,1.222,0.593,1.291,0.722
Person_361,-1.775,0.459,0.573,9,38,0.237,1.563,1.168,1.417,0.915
Person_362,-3.192,0.638,0.369,4,38,0.105,0.335,-1.373,0.271,-1.02
Person_363,5.163,0.944,0.959,37,38,0.974,1.031,0.299,0.526,0.446
Person_364,-0.311,0.394,0.439,18,38,0.474,1.243,0.678,1.615,1.376
Person_365,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_366,-0.608,0.391,0.419,16,38,0.421,1.145,0.48,1.162,0.514
Person_367,0.506,0.427,0.655,23,38,0.605,2.355,2.274,2.071,1.954
Person_368,2.733,0.598,0.543,32,38,0.842,0.825,-0.153,0.841,-0.006
Person_369,0.506,0.427,0.292,23,38,0.605,0.467,-1.28,0.487,-1.245
Person_370,4.005,0.721,0.591,35,38,0.921,0.672,-0.434,0.353,-0.316
Person_371,-1.775,0.459,0.343,9,38,0.237,0.56,-0.945,0.523,-1.017
Person_372,-3.64,0.713,0.777,3,38,0.079,1.188,0.491,1.665,0.891
Person_373,-1.576,0.44,0.282,10,38,0.263,0.41,-1.527,0.495,-1.196
Person_374,-4.215,0.827,0.686,2,38,0.053,0.686,-0.25,0.657,0.121
Person_375,-1.576,0.44,0.443,10,38,0.263,1.012,0.18,0.995,0.143
Person_376,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_377,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_378,1.314,0.478,0.44,27,38,0.711,0.845,-0.184,0.981,0.118
Person_379,-2.51,0.542,0.418,6,38,0.158,0.594,-0.724,0.515,-0.734
Person_380,-0.002,0.403,0.272,20,38,0.526,0.455,-1.421,0.494,-1.293
Person_381,-0.906,0.397,0.414,14,38,0.368,1.085,0.341,1.123,0.426
Person_382,-5.438,,,0,38,0.0,,,,
Person_383,-1.576,0.44,0.427,10,38,0.263,0.944,0.029,0.93,0.001
Person_384,1.55,0.496,0.532,28,38,0.737,1.151,0.459,1.12,0.399
Person_385,-1.576,0.44,0.371,10,38,0.263,0.71,-0.551,0.702,-0.563
Person_386,3.538,0.672,0.428,34,38,0.895,0.407,-1.144,0.264,-0.767
Person_387,-1.393,0.425,0.462,11,38,0.289,1.182,0.536,1.426,1.0
Person_388,0.692,0.438,0.351,24,38,0.632,0.643,-0.712,0.638,-0.751
Person_389,-0.002,0.403,0.288,20,38,0.526,0.512,-1.213,0.511,-1.232
Person_390,-3.64,0.713,0.506,3,38,0.079,0.505,-0.757,0.316,-0.636
Person_391,-1.222,0.413,0.207,12,38,0.316,0.251,-2.467,0.333,-2.016
Person_392,-3.192,0.638,0.634,4,38,0.105,0.989,0.175,0.651,-0.216
Person_393,0.16,0.409,0.384,21,38,0.553,0.878,-0.131,0.722,-0.545
Person_394,5.163,0.944,0.946,37,38,0.974,1.003,0.264,0.487,0.418
Person_395,0.506,0.427,0.449,23,38,0.605,1.105,0.373,1.072,0.306
Person_396,-0.002,0.403,0.404,20,38,0.526,1.008,0.166,1.011,0.171
Person_397,0.506,0.427,0.363,23,38,0.605,0.724,-0.498,0.893,-0.09
Person_398,2.083,0.54,0.579,30,38,0.789,1.151,0.453,1.306,0.687
Person_399,-2.236,0.508,0.363,7,38,0.184,0.511,-1.007,0.552,-0.749
Person_400,0.692,0.438,0.163,24,38,0.632,0.139,-2.902,0.168,-2.764
Person_401,3.538,0.672,1.054,34,38,0.895,2.462,2.003,1.729,0.939
Person_402,-2.824,0.584,0.578,5,38,0.132,0.98,0.149,0.741,-0.166
Person_403,4.005,0.721,0.677,35,38,0.921,0.881,-0.013,1.418,0.71
Person_404,-0.756,0.393,0.345,15,38,0.395,0.77,-0.496,0.688,-0.726
Person_405,-0.002,0.403,0.497,20,38,0.526,1.523,1.17,1.333,0.835
Person_406,-1.393,0.425,0.423,11,38,0.289,0.99,0.124,1.049,0.256
Person_407,0.329,0.418,0.358,22,38,0.579,0.735,-0.48,0.956,0.052
Person_408,-2.236,0.508,0.563,7,38,0.184,1.225,0.581,1.633,1.121
Person_409,-0.002,0.403,0.281,20,38,0.526,0.487,-1.303,0.546,-1.107
Person_410,-0.906,0.397,0.243,14,38,0.368,0.373,-1.96,0.421,-1.702
Person_411,2.733,0.598,0.383,32,38,0.842,0.41,-1.21,1.405,0.748
Person_412,-5.438,,,0,38,0.0,,,,
Person_413,2.733,0.598,0.586,32,38,0.842,0.96,0.112,0.806,-0.063
Person_414,-1.061,0.404,0.345,13,38,0.342,0.731,-0.587,0.672,-0.759
Person_415,-5.438,,,0,38,0.0,,,,
Person_416,-1.393,0.425,0.524,11,38,0.289,1.519,1.163,1.535,1.188
Person_417,-3.192,0.638,0.958,4,38,0.105,2.255,1.793,1.559,0.857
Person_418,-3.192,0.638,0.771,4,38,0.105,1.461,0.886,1.14,0.436
Person_419,1.094,0.463,0.272,26,38,0.684,0.344,-1.728,0.455,-1.332
Person_420,-0.159,0.397,0.475,19,38,0.5,1.427,1.021,1.747,1.574
Person_421,-0.159,0.397,0.4,19,38,0.5,1.011,0.169,1.094,0.357
Person_422,-0.906,0.397,0.551,14,38,0.368,1.923,1.952,2.034,2.094
Person_423,3.538,0.672,0.372,34,38,0.895,0.306,-1.489,0.199,-0.946
Person_424,2.733,0.598,0.761,32,38,0.842,1.616,1.125,1.203,0.505
Person_425,0.692,0.438,0.481,24,38,0.632,1.208,0.57,0.95,0.043
Person_426,-1.576,0.44,0.421,10,38,0.263,0.916,-0.036,0.877,-0.121
Person_427,3.538,0.672,0.436,34,38,0.895,0.422,-1.096,0.284,-0.72
Person_428,3.115,0.633,0.59,33,38,0.868,0.87,-0.047,0.603,-0.297
Person_429,-3.64,0.713,0.506,3,38,0.079,0.505,-0.757,0.316,-0.636
Person_430,-0.756,0.393,0.238,15,38,0.395,0.366,-2.012,0.374,-1.921
Person_431,0.16,0.409,0.411,21,38,0.553,1.01,0.172,0.908,-0.064
Person_432,-0.608,0.391,0.512,16,38,0.421,1.708,1.597,1.587,1.357
Person_433,0.506,0.427,0.233,23,38,0.605,0.298,-1.974,0.277,-2.133
Person_434,-2.51,0.542,0.322,6,38,0.158,0.353,-1.482,0.342,-1.22
Person_435,-2.824,0.584,0.605,5,38,0.132,1.075,0.317,1.041,0.293
Person_436,-1.775,0.459,0.528,9,38,0.237,1.325,0.778,1.278,0.682
Person_437,-0.159,0.397,0.336,19,38,0.5,0.715,-0.597,0.7,-0.641
Person_438,-3.64,0.713,0.663,3,38,0.079,0.865,-0.014,1.106,0.433
Person_439,0.887,0.449,0.23,25,38,0.658,0.261,-2.121,0.353,-1.747
Person_440,-0.756,0.393,0.335,15,38,0.395,0.728,-0.625,0.65,-0.85
Person_441,-2.236,0.508,0.392,7,38,0.184,0.594,-0.765,0.636,-0.542
Person_442,-0.756,0.393,0.331,15,38,0.395,0.707,-0.688,0.659,-0.821
Person_443,2.083,0.54,0.575,30,38,0.789,1.135,0.425,0.941,0.077
Person_444,2.083,0.54,0.534,30,38,0.789,0.977,0.123,0.911,0.02
Person_445,-0.608,0.391,0.23,16,38,0.421,0.346,-2.096,0.378,-1.893
Person_446,2.083,0.54,0.406,30,38,0.789,0.566,-0.854,0.548,-0.797
Person_447,2.733,0.598,0.57,32,38,0.842,0.906,0.01,1.539,0.895
Person_448,2.733,0.598,0.406,32,38,0.842,0.46,-1.052,0.361,-1.001
Person_449,-2.824,0.584,0.703,5,38,0.132,1.453,0.903,1.119,0.398
Person_450,-2.236,0.508,0.373,7,38,0.184,0.54,-0.919,0.58,-0.678
Person_451,2.733,0.598,0.639,32,38,0.842,1.139,0.425,0.806,-0.064
Person_452,-3.64,0.713,0.643,3,38,0.079,0.813,-0.106,2.907,1.625
Person_453,-0.608,0.391,0.403,16,38,0.421,1.06,0.281,1.203,0.602
Person_454,1.094,0.463,0.402,26,38,0.684,0.753,-0.41,0.824,-0.248
Person_455,-3.64,0.713,0.694,3,38,0.079,0.948,0.126,0.948,0.277
Person_456,0.887,0.449,0.444,25,38,0.658,0.975,0.104,0.918,-0.029
Person_457,-0.311,0.394,0.282,18,38,0.474,0.513,-1.292,0.587,-1.022
Person_458,3.115,0.633,0.899,33,38,0.868,2.019,1.573,2.605,1.652
Person_459,-0.002,0.403,0.411,20,38,0.526,1.044,0.245,1.198,0.572
Person_460,-3.192,0.638,0.59,4,38,0.105,0.857,-0.063,1.102,0.394
Person_461,-2.236,0.508,0.343,7,38,0.184,0.456,-1.182,0.488,-0.921
Person_462,-2.824,0.584,0.537,5,38,0.132,0.848,-0.106,0.621,-0.385
Person_463,-1.222,0.413,0.28,12,38,0.316,0.459,-1.473,0.518,-1.243
Person_464,3.115,0.633,0.691,33,38,0.868,1.193,0.509,2.229,1.396
Person_465,1.55,0.496,0.401,28,38,0.737,0.654,-0.663,0.784,-0.318
Person_466,-2.236,0.508,0.555,7,38,0.184,1.193,0.526,1.329,0.711
Person_467,-1.775,0.459,0.481,9,38,0.237,1.102,0.366,1.087,0.337
Person_468,-0.002,0.403,0.407,20,38,0.526,1.021,0.195,1.136,0.445
Person_469,-3.64,0.713,0.447,3,38,0.079,0.394,-1.057,0.283,-0.71
Person_470,-1.393,0.425,0.344,11,38,0.289,0.654,-0.749,0.695,-0.627
Person_471,-2.236,0.508,0.686,7,38,0.184,1.821,1.468,3.214,2.681
Person_472,0.887,0.449,0.346,25,38,0.658,0.593,-0.851,0.502,-1.176
Person_473,-1.222,0.413,0.531,12,38,0.316,1.651,1.427,1.76,1.601
Person_474,-1.061,0.404,0.334,13,38,0.342,0.686,-0.726,0.634,-0.878
Person_475,-2.51,0.542,0.548,6,38,0.158,1.023,0.22,0.803,-0.125
Person_476,-2.51,0.542,0.635,6,38,0.158,1.375,0.81,1.659,1.085
Person_477,-0.311,0.394,0.222,18,38,0.474,0.318,-2.141,0.272,-2.371
Person_478,0.692,0.438,0.414,24,38,0.632,0.894,-0.075,1.01,0.176
Person_479,3.115,0.633,0.207,33,38,0.868,0.107,-2.564,0.122,-1.578
Person_480,0.16,0.409,0.42,21,38,0.553,1.053,0.265,1.057,0.273
Person_481,1.805,0.516,0.412,29,38,0.763,0.638,-0.688,0.822,-0.199
Person_482,-1.222,0.413,0.44,12,38,0.316,1.135,0.446,1.126,0.426
Person_483,-2.51,0.542,0.679,6,38,0.158,1.569,1.093,1.779,1.217
Person_484,-2.51,0.542,0.519,6,38,0.158,0.917,0.017,0.826,-0.083
Person_485,3.538,0.672,0.445,34,38,0.895,0.44,-1.043,0.281,-0.728
Person_486,-1.775,0.459,0.44,9,38,0.237,0.92,-0.013,0.96,0.082
Person_487,-2.824,0.584,0.73,5,38,0.132,1.565,1.056,1.624,0.979
Person_488,-3.192,0.638,0.706,4,38,0.105,1.225,0.554,1.795,1.062
Person_489,-1.393,0.425,0.25,11,38,0.289,0.347,-1.873,0.415,-1.576
Person_490,-1.993,0.481,0.436,8,38,0.211,0.823,-0.217,0.798,-0.235
Person_491,-0.002,0.403,0.428,20,38,0.526,1.131,0.431,0.889,-0.118
Person_492,4.005,0.721,0.483,35,38,0.921,0.449,-0.993,0.283,-0.44
Person_493,1.805,0.516,0.383,29,38,0.763,0.552,-0.936,0.529,-0.945
Person_494,-1.775,0.459,0.365,9,38,0.237,0.634,-0.726,0.605,-0.775
Person_495,0.692,0.438,0.353,24,38,0.632,0.651,-0.69,0.711,-0.547
Person_496,0.329,0.418,0.387,22,38,0.579,0.858,-0.17,0.795,-0.338
Person_497,1.55,0.496,0.492,28,38,0.737,0.985,0.128,0.901,-0.048
Person_498,-1.993,0.481,0.373,8,38,0.211,0.602,-0.78,0.54,-0.877
Person_499,-0.608,0.391,0.392,16,38,0.421,1.005,0.145,0.962,0.042
Person_500,-0.002,0.403,0.382,20,38,0.526,0.899,-0.089,0.788,-0.378
Person_501,-0.311,0.394,0.254,18,38,0.474,0.418,-1.673,0.417,-1.666
Person_502,1.805,0.516,0.404,29,38,0.763,0.614,-0.755,0.588,-0.775
Person_503,-3.64,0.713,0.447,3,38,0.079,0.394,-1.057,0.283,-0.71
Person_504,0.16,0.409,0.576,21,38,0.553,1.977,1.842,1.642,1.359
Person_505,1.805,0.516,0.373,29,38,0.763,0.522,-1.028,0.495,-1.05
Person_506,-1.061,0.404,0.396,13,38,0.342,0.96,0.038,0.719,-0.613
Person_507,-4.215,0.827,0.734,2,38,0.053,0.786,-0.081,1.325,0.657
Person_508,-0.002,0.403,0.367,20,38,0.526,0.83,-0.261,0.942,0.011
Person_509,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_510,-2.824,0.584,0.507,5,38,0.132,0.753,-0.303,0.681,-0.273
Person_511,-3.192,0.638,0.675,4,38,0.105,1.121,0.394,0.886,0.128
Person_512,-5.438,,,0,38,0.0,,,,
Person_513,-0.46,0.392,0.34,17,38,0.447,0.753,-0.527,0.771,-0.464
Person_514,2.391,0.567,0.445,31,38,0.816,0.614,-0.674,0.496,-0.81
Person_515,-1.775,0.459,0.494,9,38,0.237,1.162,0.482,1.118,0.395
Person_516,1.805,0.516,0.53,29,38,0.763,1.052,0.268,0.918,0.006
Person_517,0.506,0.427,0.535,23,38,0.605,1.574,1.202,1.521,1.136
Person_518,3.538,0.672,0.445,34,38,0.895,0.44,-1.043,0.281,-0.728
Person_519,0.887,0.449,0.301,25,38,0.658,0.449,-1.323,0.465,-1.307
Person_520,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_521,-3.192,0.638,0.453,4,38,0.105,0.505,-0.85,0.404,-0.681
Person_522,-0.608,0.391,0.319,16,38,0.421,0.666,-0.817,0.457,-1.55
Person_523,0.692,0.438,0.439,24,38,0.632,1.007,0.171,0.906,-0.057
Person_524,2.083,0.54,0.362,30,38,0.789,0.449,-1.218,0.464,-1.035
Person_525,2.733,0.598,0.416,32,38,0.842,0.483,-0.982,0.428,-0.822
Person_526,-2.824,0.584,0.32,5,38,0.132,0.3,-1.604,0.27,-1.264
Person_527,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_528,-0.608,0.391,0.307,16,38,0.421,0.617,-0.981,0.527,-1.273
Person_529,2.083,0.54,0.408,30,38,0.789,0.57,-0.844,0.509,-0.902
Person_530,0.692,0.438,0.551,24,38,0.632,1.585,1.212,1.645,1.329
Person_531,-1.061,0.404,0.401,13,38,0.342,0.984,0.099,0.978,0.085
Person_532,-1.061,0.404,0.397,13,38,0.342,0.967,0.057,1.079,0.324
Person_533,3.538,0.672,0.428,34,38,0.895,0.407,-1.144,0.264,-0.767
Person_534,3.538,0.672,0.616,34,38,0.895,0.841,-0.095,1.072,0.399
Person_535,5.163,0.944,0.936,37,38,0.974,0.983,0.238,0.472,0.406
Person_536,0.887,0.449,0.47,25,38,0.658,1.091,0.345,1.095,0.353
Person_537,3.538,0.672,0.436,34,38,0.895,0.422,-1.096,0.284,-0.72
Person_538,-0.311,0.394,0.191,18,38,0.474,0.234,-2.613,0.272,-2.372
Person_539,-4.215,0.827,0.731,2,38,0.053,0.78,-0.09,0.338,-0.283
Person_540,-3.64,0.713,0.6,3,38,0.079,0.709,-0.304,0.532,-0.245
Person_541,-0.46,0.392,0.257,17,38,0.447,0.432,-1.658,0.388,-1.825
Person_542,0.887,0.449,0.412,25,38,0.658,0.841,-0.197,0.783,-0.353
Person_543,0.692,0.438,0.444,24,38,0.632,1.029,0.218,1.009,0.174
Person_544,-5.015,1.031,1.295,1,38,0.026,1.578,0.854,1.478,0.846
Person_545,-1.222,0.413,0.405,12,38,0.316,0.962,0.051,1.043,0.242
Person_546,2.733,0.598,0.642,32,38,0.842,1.152,0.447,0.823,-0.035
Person_547,-1.775,0.459,0.246,9,38,0.237,0.287,-1.978,0.285,-1.917
Person_548,-2.51,0.542,0.468,6,38,0.158,0.745,-0.351,0.656,-0.414
Person_549,2.083,0.54,0.654,30,38,0.789,1.466,0.974,1.516,0.988
Person_550,-5.438,,,0,38,0.0,,,,
Person_551,-0.311,0.394,0.443,18,38,0.474,1.265,0.723,1.537,1.24
Person_552,-0.311,0.394,0.296,18,38,0.474,0.564,-1.108,0.6,-0.979
Person_553,0.506,0.427,0.631,23,38,0.605,2.183,2.061,1.708,1.435
Person_554,2.733,0.598,0.406,32,38,0.842,0.46,-1.052,0.361,-1.001
Person_555,-0.002,0.403,0.546,20,38,0.526,1.84,1.678,1.345,0.858
Person_556,3.538,0.672,0.646,34,38,0.895,0.924,0.06,1.141,0.465
Person_557,1.094,0.463,0.479,26,38,0.684,1.073,0.308,1.2,0.558
Person_558,3.115,0.633,0.578,33,38,0.868,0.833,-0.118,0.52,-0.446
Person_559,-3.192,0.638,0.453,4,38,0.105,0.505,-0.85,0.404,-0.681
Person_560,2.733,0.598,0.768,32,38,0.842,1.646,1.164,2.061,1.401
Person_561,1.805,0.516,0.342,29,38,0.763,0.44,-1.3,0.427,-1.272
Person_562,2.083,0.54,0.71,30,38,0.789,1.728,1.354,1.427,0.864
Person_563,-1.775,0.459,0.437,9,38,0.237,0.91,-0.036,0.88,-0.09
Person_564,-1.222,0.413,0.477,12,38,0.316,1.336,0.858,1.421,1.017
Person_565,-1.222,0.413,0.332,12,38,0.316,0.646,-0.815,0.568,-1.068
Person_566,1.55,0.496,0.331,28,38,0.737,0.447,-1.307,0.457,-1.25
Person_567,-1.993,0.481,0.521,8,38,0.211,1.175,0.499,1.668,1.231
Person_568,0.16,0.409,0.326,21,38,0.553,0.635,-0.78,0.571,-0.998
Person_569,-3.192,0.638,0.525,4,38,0.105,0.678,-0.43,0.754,-0.055
Person_570,-1.775,0.459,0.447,9,38,0.237,0.951,0.055,0.942,0.045
Person_571,1.094,0.463,0.382,26,38,0.684,0.682,-0.596,0.599,-0.856
Person_572,-0.46,0.392,0.376,17,38,0.447,0.922,-0.06,0.896,-0.123
Person_573,1.314,0.478,0.61,27,38,0.711,1.627,1.266,1.309,0.754
Person_574,-0.311,0.394,0.342,18,38,0.474,0.754,-0.506,0.78,-0.429
Person_575,3.538,0.672,0.602,34,38,0.895,0.803,-0.17,0.854,0.171
Person_576,-1.775,0.459,0.328,9,38,0.237,0.512,-1.097,0.636,-0.688
Person_577,-4.215,0.827,0.504,2,38,0.053,0.371,-0.932,0.234,-0.472
Person_578,0.16,0.409,0.594,21,38,0.553,2.105,2.018,2.326,2.338
Person_579,0.692,0.438,0.383,24,38,0.632,0.768,-0.377,0.781,-0.361
Person_580,-1.576,0.44,0.455,10,38,0.263,1.071,0.304,1.086,0.335
Person_581,1.805,0.516,0.57,29,38,0.763,1.219,0.582,1.36,0.802
Person_582,3.115,0.633,0.667,33,38,0.868,1.11,0.376,1.133,0.428
Person_583,-2.824,0.584,0.32,5,38,0.132,0.3,-1.604,0.27,-1.264
Person_584,1.314,0.478,0.483,27,38,0.711,1.021,0.204,0.973,0.1
Person_585,1.094,0.463,0.627,26,38,0.684,1.832,1.569,1.807,1.56
Person_586,0.887,0.449,0.376,25,38,0.658,0.698,-0.555,0.629,-0.776
Person_587,2.733,0.598,0.603,32,38,0.842,1.017,0.215,0.869,0.038
Person_588,4.005,0.721,0.483,35,38,0.921,0.449,-0.993,0.283,-0.44
Person_589,4.534,0.799,0.523,36,38,0.947,0.428,-0.949,0.27,-0.15
Person_590,0.506,0.427,0.361,23,38,0.605,0.714,-0.524,0.727,-0.51
Person_591,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_592,0.329,0.418,0.514,22,38,0.579,1.515,1.119,1.495,1.102
Person_593,-0.608,0.391,0.437,16,38,0.421,1.246,0.704,1.38,0.968
Person_594,-2.236,0.508,0.549,7,38,0.184,1.166,0.478,1.171,0.474
Person_595,2.083,0.54,0.574,30,38,0.789,1.131,0.416,0.926,0.049
Person_596,5.442,,,38,38,1.0,,,,
Person_597,4.534,0.799,1.022,36,38,0.947,1.634,1.05,2.271,1.124
Person_598,-1.775,0.459,0.535,9,38,0.237,1.361,0.84,1.555,1.129
Person_599,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_600,2.083,0.54,0.44,30,38,0.789,0.664,-0.586,0.576,-0.723
Person_601,1.805,0.516,0.473,29,38,0.763,0.839,-0.183,1.006,0.183
Person_602,-1.393,0.425,0.357,11,38,0.289,0.705,-0.599,0.785,-0.378
Person_603,4.534,0.799,0.516,36,38,0.947,0.416,-0.982,0.267,-0.155
Person_604,-0.311,0.394,0.279,18,38,0.474,0.501,-1.336,0.615,-0.927
Person_605,-1.993,0.481,0.443,8,38,0.211,0.849,-0.157,0.751,-0.339
Person_606,1.805,0.516,0.663,29,38,0.763,1.648,1.272,1.744,1.361
Person_607,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_608,-0.906,0.397,0.425,14,38,0.368,1.146,0.482,0.925,-0.051
Person_609,0.887,0.449,0.387,25,38,0.658,0.74,-0.444,0.798,-0.316
Person_610,-1.061,0.404,0.434,13,38,0.342,1.157,0.502,1.224,0.642
Person_611,-4.215,0.827,0.504,2,38,0.053,0.371,-0.932,0.234,-0.472
Person_612,0.887,0.449,0.45,25,38,0.658,1.001,0.161,1.054,0.27
Person_613,1.805,0.516,0.431,29,38,0.763,0.696,-0.531,0.865,-0.104
Person_614,-0.002,0.403,0.373,20,38,0.526,0.857,-0.193,1.04,0.236
Person_615,-2.51,0.542,0.398,6,38,0.158,0.54,-0.873,0.451,-0.899
Person_616,1.805,0.516,0.419,29,38,0.763,0.659,-0.63,0.628,-0.668
Person_617,-2.51,0.542,0.524,6,38,0.158,0.936,0.054,0.836,-0.065
Person_618,-3.64,0.713,0.748,3,38,0.079,1.1,0.364,1.814,0.995
Person_619,2.083,0.54,0.69,30,38,0.789,1.634,1.222,1.36,0.769
Person_620,-2.236,0.508,0.502,7,38,0.184,0.975,0.121,0.817,-0.15
Person_621,0.16,0.409,0.213,21,38,0.553,0.271,-2.191,0.236,-2.424
Person_622,2.733,0.598,0.617,32,38,0.842,1.064,0.297,0.906,0.094
Person_623,-2.51,0.542,0.397,6,38,0.158,0.536,-0.885,0.598,-0.539
Person_624,3.538,0.672,0.428,34,38,0.895,0.407,-1.144,0.264,-0.767
Person_625,-1.061,0.404,0.433,13,38,0.342,1.148,0.48,1.111,0.397
Person_626,-0.46,0.392,0.286,17,38,0.447,0.535,-1.25,0.491,-1.393
Person_627,1.094,0.463,0.452,26,38,0.684,0.955,0.062,0.914,-0.036
Person_628,-0.002,0.403,0.431,20,38,0.526,1.148,0.468,1.117,0.404
Person_629,-3.64,0.713,0.783,3,38,0.079,1.206,0.516,1.929,1.072
Person_630,0.692,0.438,0.25,24,38,0.632,0.326,-1.823,0.361,-1.723
Person_631,-1.061,0.404,0.409,13,38,0.342,1.027,0.203,0.869,-0.192
Person_632,1.805,0.516,0.43,29,38,0.763,0.695,-0.536,0.658,-0.588
Person_633,5.163,0.944,0.462,37,38,0.974,0.239,-1.198,0.117,0.001
Person_634,0.329,0.418,0.421,22,38,0.579,1.019,0.194,1.067,0.296
Person_635,0.329,0.418,0.524,22,38,0.579,1.577,1.22,1.765,1.534
Person_636,2.391,0.567,0.593,31,38,0.816,1.092,0.345,0.921,0.074
Person_637,1.314,0.478,0.357,27,38,0.711,0.558,-0.953,0.602,-0.83
Person_638,-4.215,0.827,0.731,2,38,0.053,0.78,-0.09,0.338,-0.283
Person_639,1.55,0.496,0.305,28,38,0.737,0.379,-1.562,0.401,-1.454
Person_640,-2.236,0.508,0.553,7,38,0.184,1.182,0.506,0.987,0.168
Person_641,0.887,0.449,0.418,25,38,0.658,0.866,-0.138,0.834,-0.226
Person_642,0.506,0.427,0.296,23,38,0.605,0.481,-1.233,0.537,-1.074
Person_643,0.692,0.438,0.354,24,38,0.632,0.655,-0.678,0.659,-0.692
Person_644,-0.46,0.392,0.339,17,38,0.447,0.748,-0.542,0.654,-0.82
Person_645,3.115,0.633,0.207,33,38,0.868,0.107,-2.564,0.122,-1.578
Person_646,2.733,0.598,0.302,32,38,0.842,0.255,-1.799,0.333,-1.081
Person_647,4.534,0.799,0.523,36,38,0.947,0.428,-0.949,0.27,-0.15
Person_648,0.329,0.418,0.387,22,38,0.579,0.86,-0.165,0.744,-0.472
Person_649,0.16,0.409,0.428,21,38,0.553,1.094,0.353,1.216,0.603
Person_650,2.083,0.54,0.389,30,38,0.789,0.519,-0.996,0.478,-0.992
Person_651,-4.215,0.827,0.731,2,38,0.053,0.78,-0.09,0.338,-0.283
Person_652,1.805,0.516,0.371,29,38,0.763,0.515,-1.05,0.496,-1.047
Person_653,1.094,0.463,0.44,26,38,0.684,0.905,-0.048,0.935,0.013
Person_654,-0.311,0.394,0.26,18,38,0.474,0.437,-1.59,0.454,-1.511
Person_655,3.115,0.633,0.475,33,38,0.868,0.563,-0.721,0.563,-0.367
Person_656,4.005,0.721,0.929,35,38,0.921,1.659,1.131,1.58,0.812
Person_657,-3.64,0.713,0.615,3,38,0.079,0.745,-0.233,1.033,0.363
Person_658,4.005,0.721,0.466,35,38,0.921,0.418,-1.086,0.264,-0.476
